iter	Passed	Remaining
0	28	28844
1	68	34090
2	84	27953
3	127	31667
4	159	31757
5	173	28722
6	201	28530
7	226	28086
8	232	25599
9	265	26319
10	273	24604
11	306	25229
12	332	25220
13	363	25613
14	396	26022
15	416	25639
16	444	25699
17	462	25224
18	496	25616
19	507	24875
20	517	24134
21	541	24083
22	559	23755
23	586	23853
24	673	26265
25	731	27399
26	762	27469
27	778	27028
28	799	26759
29	813	26310
30	845	26417
31	862	26078
32	881	25816
33	901	25618
34	926	25548
35	945	25306
36	964	25112
37	998	25283
38	1016	25039
39	1055	25322
40	1086	25415
41	1103	25170
42	1136	25285
43	1167	25375
44	1180	25059
45	1207	25039
46	1223	24818
47	1245	24697
48	1267	24604
49	1282	24363
50	1297	24140
51	1317	24016
52	1328	23735
53	1342	23513
54	1352	23234
55	1381	23295
56	1391	23022
57	1401	22755
58	1453	23175
59	1473	23083
60	1505	23170
61	1528	23128
62	1555	23133
63	1579	23098
64	1600	23018
65	1624	22983
66	1653	23027
67	1682	23053
68	1710	23079
69	1734	23045
70	1770	23170
71	1787	23037
72	1802	22889
73	1834	22953
74	1850	22819
75	1881	22879
76	1904	22823
77	1929	22807
78	2039	23777
79	2077	23892
80	2115	23996
81	2144	24012
82	2212	24447
83	2266	24712
84	2279	24543
85	2305	24506
86	2338	24543
87	2354	24398
88	2409	24660
89	2437	24643
90	2485	24823
91	2499	24670
92	2544	24811
93	2561	24684
94	2608	24846
95	2630	24765
96	2662	24790
97	2705	24904
98	2749	25018
99	2767	24907
100	2781	24757
101	2800	24652
102	2819	24555
103	2850	24561
104	2866	24436
105	2881	24302
106	2896	24175
107	2917	24096
108	2934	23987
109	2957	23931
110	2979	23860
111	2988	23693
112	3002	23571
113	3032	23571
114	3049	23467
115	3067	23378
116	3087	23301
117	3120	23323
118	3136	23217
119	3157	23151
120	3173	23054
121	3189	22951
122	3220	22961
123	3236	22862
124	3266	22866
125	3293	22845
126	3315	22790
127	3330	22688
128	3362	22703
129	3387	22668
130	3419	22684
131	3435	22590
132	3451	22500
133	3479	22488
134	3499	22424
135	3529	22421
136	3560	22427
137	3575	22331
138	3594	22264
139	3617	22223
140	3632	22130
141	3660	22115
142	3678	22045
143	3698	21983
144	3726	21972
145	3765	22023
146	3805	22084
147	3838	22099
148	3866	22085
149	3896	22081
150	3922	22055
151	3958	22085
152	4055	22452
153	4090	22471
154	4140	22571
155	4183	22631
156	4219	22658
157	4253	22669
158	4286	22673
159	4311	22633
160	4342	22627
161	4375	22631
162	4402	22604
163	4436	22615
164	4470	22621
165	4498	22601
166	4532	22607
167	4563	22601
168	4596	22603
169	4639	22650
170	4679	22688
171	4712	22687
172	4744	22679
173	4796	22769
174	4840	22820
175	4889	22894
176	4926	22904
177	4958	22899
178	4995	22913
179	5025	22895
180	5056	22881
181	5088	22869
182	5137	22937
183	5173	22942
184	5206	22935
185	5250	22977
186	5284	22976
187	5317	22968
188	5349	22956
189	5381	22942
190	5414	22935
191	5447	22926
192	5486	22940
193	5532	22986
194	5573	23008
195	5604	22988
196	5644	23006
197	5690	23050
198	5720	23026
199	5750	23000
200	5781	22980
201	5813	22968
202	5850	22969
203	5881	22947
204	5909	22915
205	5935	22877
206	5961	22838
207	5987	22799
208	6014	22764
209	6039	22720
210	6066	22684
211	6092	22646
212	6116	22600
213	6145	22571
214	6172	22535
215	6198	22499
216	6235	22500
217	6278	22522
218	6315	22522
219	6348	22509
220	6383	22499
221	6514	22829
222	6550	22824
223	6591	22833
224	6628	22830
225	6669	22841
226	6702	22823
227	6735	22804
228	6767	22784
229	6797	22758
230	6828	22732
231	6858	22703
232	6887	22673
233	6915	22636
234	6944	22605
235	6975	22582
236	7005	22553
237	7036	22527
238	7063	22489
239	7089	22451
240	7115	22409
241	7147	22386
242	7177	22359
243	7208	22333
244	7237	22301
245	7268	22278
246	7321	22319
247	7355	22304
248	7390	22290
249	7423	22270
250	7453	22242
251	7483	22213
252	7512	22180
253	7541	22148
254	7570	22117
255	7598	22083
256	7626	22047
257	7654	22014
258	7682	21979
259	7709	21941
260	7738	21910
261	7764	21871
262	7790	21832
263	7818	21796
264	7847	21766
265	7875	21732
266	7905	21702
267	7936	21676
268	7965	21646
269	7995	21618
270	8025	21588
271	8057	21566
272	8087	21536
273	8116	21506
274	8148	21482
275	8183	21466
276	8211	21432
277	8240	21401
278	8271	21374
279	8300	21344
280	8326	21305
281	8353	21269
282	8383	21239
283	8410	21203
284	8439	21173
285	8470	21145
286	8499	21115
287	8527	21082
288	8554	21044
289	8581	21008
290	8607	20970
291	8632	20931
292	8661	20898
293	8689	20866
294	8721	20842
295	8761	20839
296	8802	20835
297	8842	20830
298	8881	20821
299	8924	20824
300	8959	20806
301	8992	20784
302	9024	20759
303	9061	20746
304	9094	20724
305	9142	20735
306	9176	20714
307	9208	20688
308	9239	20662
309	9270	20634
310	9308	20623
311	9340	20596
312	9374	20576
313	9400	20537
314	9428	20502
315	9460	20478
316	9501	20471
317	9530	20439
318	9560	20409
319	9590	20379
320	9620	20350
321	9678	20379
322	9722	20377
323	9775	20395
324	9823	20402
325	9872	20411
326	9919	20414
327	10000	20489
328	10054	20507
329	10107	20520
330	10148	20511
331	10191	20506
332	10259	20549
333	10324	20587
334	10369	20583
335	10421	20594
336	10467	20593
337	10505	20576
338	10576	20622
339	10620	20616
340	10664	20609
341	10707	20600
342	10751	20593
343	10795	20587
344	10835	20571
345	10875	20556
346	10928	20565
347	10971	20556
348	11011	20540
349	11047	20516
350	11098	20521
351	11139	20507
352	11182	20495
353	11220	20475
354	11270	20478
355	11309	20459
356	11340	20425
357	11370	20389
358	11402	20359
359	11437	20332
360	11468	20300
361	11505	20277
362	11540	20250
363	11582	20237
364	11614	20206
365	11650	20182
366	11680	20146
367	11713	20115
368	11743	20081
369	11789	20073
370	11814	20031
371	11844	19994
372	11875	19962
373	11915	19944
374	11946	19911
375	11978	19878
376	12012	19850
377	12050	19828
378	12079	19792
379	12107	19754
380	12136	19718
381	12164	19679
382	12191	19639
383	12215	19595
384	12242	19556
385	12268	19515
386	12298	19480
387	12324	19439
388	12350	19399
389	12378	19361
390	12405	19321
391	12431	19281
392	12463	19250
393	12491	19213
394	12519	19175
395	12547	19138
396	12577	19103
397	12604	19064
398	12630	19024
399	12659	18988
400	12704	18976
401	12733	18941
402	12769	18916
403	12803	18888
404	12831	18850
405	12859	18814
406	12888	18778
407	12914	18739
408	12941	18699
409	12966	18658
410	12994	18622
411	13022	18585
412	13046	18543
413	13073	18505
414	13099	18465
415	13126	18426
416	13151	18386
417	13221	18409
418	13259	18386
419	13288	18350
420	13317	18315
421	13344	18277
422	13371	18239
423	13399	18202
424	13432	18173
425	13463	18141
426	13502	18119
427	13535	18089
428	13567	18058
429	13602	18030
430	13642	18010
431	13672	17976
432	13698	17938
433	13725	17900
434	13752	17862
435	13778	17823
436	13804	17784
437	13831	17747
438	13859	17711
439	13887	17675
440	13916	17640
441	13942	17601
442	13969	17563
443	13994	17525
444	14020	17486
445	14049	17451
446	14077	17415
447	14103	17377
448	14131	17341
449	14156	17302
450	14183	17265
451	14210	17228
452	14234	17188
453	14260	17149
454	14285	17110
455	14311	17073
456	14337	17035
457	14362	16997
458	14388	16959
459	14417	16924
460	14442	16886
461	14467	16847
462	14493	16809
463	14518	16771
464	14556	16747
465	14594	16723
466	14629	16696
467	14676	16683
468	14725	16672
469	14764	16648
470	14794	16615
471	14820	16579
472	14846	16541
473	14872	16504
474	14899	16467
475	14927	16432
476	14953	16395
477	14981	16360
478	15011	16327
479	15040	16294
480	15074	16265
481	15100	16228
482	15127	16192
483	15153	16155
484	15180	16119
485	15207	16083
486	15232	16045
487	15276	16027
488	15305	15994
489	15330	15956
490	15355	15918
491	15381	15881
492	15407	15844
493	15434	15809
494	15460	15772
495	15484	15734
496	15509	15696
497	15536	15661
498	15561	15623
499	15587	15587
500	15612	15550
501	15637	15513
502	15662	15475
503	15688	15439
504	15713	15402
505	15740	15367
506	15765	15329
507	15790	15293
508	15815	15256
509	15840	15219
510	15867	15184
511	15893	15148
512	15917	15111
513	15943	15075
514	15969	15039
515	15994	15002
516	16019	14965
517	16044	14929
518	16069	14892
519	16094	14856
520	16120	14820
521	16145	14784
522	16172	14749
523	16198	14714
524	16224	14679
525	16251	14644
526	16275	14607
527	16300	14571
528	16330	14539
529	16357	14505
530	16383	14470
531	16409	14435
532	16436	14401
533	16460	14364
534	16485	14328
535	16510	14292
536	16536	14257
537	16560	14221
538	16586	14186
539	16611	14150
540	16637	14115
541	16662	14079
542	16688	14045
543	16713	14010
544	16741	13976
545	16766	13941
546	16791	13905
547	16816	13870
548	16841	13835
549	16866	13800
550	16891	13764
551	16917	13729
552	16942	13694
553	16967	13659
554	16994	13626
555	17020	13591
556	17046	13557
557	17070	13521
558	17095	13487
559	17121	13452
560	17148	13419
561	17172	13383
562	17198	13349
563	17223	13314
564	17248	13280
565	17273	13244
566	17300	13211
567	17326	13178
568	17350	13142
569	17376	13108
570	17402	13074
571	17427	13039
572	17452	13005
573	17481	12974
574	17506	12939
575	17531	12905
576	17558	12872
577	17582	12837
578	17608	12803
579	17633	12768
580	17657	12734
581	17682	12699
582	17709	12666
583	17733	12632
584	17760	12599
585	17784	12564
586	17809	12530
587	17834	12496
588	17859	12462
589	17884	12428
590	17908	12393
591	17933	12359
592	17963	12329
593	17992	12298
594	18018	12264
595	18044	12231
596	18070	12198
597	18094	12163
598	18120	12130
599	18144	12096
600	18171	12064
601	18195	12029
602	18220	11996
603	18245	11962
604	18270	11928
605	18296	11895
606	18321	11862
607	18346	11828
608	18371	11794
609	18395	11761
610	18421	11728
611	18447	11695
612	18472	11662
613	18496	11628
614	18522	11595
615	18547	11562
616	18573	11529
617	18601	11498
618	18629	11466
619	18655	11433
620	18680	11401
621	18709	11370
622	18748	11345
623	18774	11312
624	18802	11281
625	18829	11249
626	18854	11216
627	18881	11184
628	18907	11152
629	18933	11119
630	18959	11087
631	18986	11055
632	19013	11023
633	19039	10991
634	19066	10959
635	19091	10926
636	19116	10893
637	19141	10860
638	19171	10830
639	19200	10800
640	19225	10767
641	19251	10735
642	19277	10703
643	19306	10672
644	19331	10640
645	19358	10607
646	19387	10577
647	19418	10548
648	19446	10517
649	19473	10485
650	19500	10453
651	19526	10422
652	19553	10390
653	19581	10359
654	19607	10327
655	19633	10295
656	19660	10264
657	19685	10231
658	19711	10199
659	19737	10167
660	19762	10135
661	19789	10103
662	19814	10071
663	19840	10039
664	19865	10007
665	19890	9975
666	19915	9942
667	19939	9910
668	19964	9877
669	19989	9845
670	20013	9812
671	20037	9780
672	20062	9748
673	20088	9716
674	20113	9684
675	20138	9652
676	20162	9619
677	20186	9587
678	20211	9554
679	20235	9522
680	20261	9491
681	20286	9459
682	20311	9427
683	20337	9395
684	20361	9363
685	20400	9337
686	20425	9306
687	20450	9274
688	20476	9242
689	20501	9210
690	20528	9179
691	20553	9148
692	20579	9116
